time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-23 00:00:00+00:00,55,19,0,0
2026-04-24 00:00:00+00:00,79,30,0,0
2026-04-25 00:00:00+00:00,44,19,0,0
2026-04-26 00:00:00+00:00,22,6,0,0
2026-04-27 00:00:00+00:00,33,11,0,0
2026-04-28 00:00:00+00:00,18,5,0,0
2026-04-29 00:00:00+00:00,47,11,0,0
2026-04-30 00:00:00+00:00,31,8,0,0
2026-05-01 00:00:00+00:00,18,4,0,0
2026-05-02 00:00:00+00:00,19,5,0,0
2026-05-03 00:00:00+00:00,34,12,0,0
2026-05-04 00:00:00+00:00,40,10,0,0
2026-05-05 00:00:00+00:00,43,13,0,0
2026-05-06 00:00:00+00:00,17,4,0,0
